artist_rank,artist_id,artist_name,artist_genres,artist_popularity,artist_followers,artist_genre,artist_genre_others
29,2jSGzJw0ebJLu7OLVSOcBP,Plan B,"['latin', 'reggaeton', 'trap latino']",77,1362214,latin,"reggaeton, trap latino"
30,00me4Ke1LsvMxt5kydlMyU,Cosculluela,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",75,3982695,latin,"latin hip hop, reggaeton, reggaeton flow, trap latino"
31,1SupJlEpv7RS2tPNRaHViT,Nicky Jam,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",90,14926174,latin,"latin hip hop, reggaeton, trap latino"
32,1pf0MPKfKdvS8J779mS1Ay,Miky Woodz,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",78,2158338,latin,"latin hip hop, reggaeton, reggaeton flow, trap latino"
33,3LKXWvXFWrkwUzJWxzwVpW,Tony Dize,"['latin', 'latin hip hop', 'reggaeton', 'relaxative', 'trap latino']",70,2426056,latin,"latin hip hop, reggaeton, relaxative, trap latino"
34,14zUHaJZo1mnYtn6IBRaRP,Justin Quiles,"['latin', 'reggaeton', 'trap latino']",88,2933626,latin,"reggaeton, trap latino"
35,21451j1KhjAiaYKflxBjr1,Zion & Lennox,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",85,5583858,latin,"latin hip hop, reggaeton, trap latino"
36,6w3SkAHYPsQ1bxV7VDlG5y,Cazzu,"['argentine hip hop', 'latin', 'latin pop', 'rap latina', 'reggaeton', 'trap argentino', 'trap latino']",79,3753109,argentine hip hop,"latin, latin pop, rap latina, reggaeton, trap argentino, trap latino"
37,0xf0KaVp6AMWgesiBh6fee,Musicologo Y Menes,"['reggaeton', 'reggaeton flow', 'trap latino']",55,159248,reggaeton,"reggaeton flow, trap latino"
38,0Q8NcsJwoCbZOHHW63su5S,Mora,"['reggaeton', 'trap latino']",84,158553,reggaeton,trap latino
39,3IEvQoAohcGX7CdrbtIle7,Baby Rasta & Gringo,"['latin', 'latin hip hop', 'perreo', 'reggaeton', 'reggaeton flow', 'salsa choke', 'trap latino']",64,2211722,latin,"latin hip hop, perreo, reggaeton, reggaeton flow, salsa choke, trap latino"
40,16Juw2gfa9IxEL3Vu69cH7,Yaga & Mackie,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",62,327528,latin,"latin hip hop, reggaeton, reggaeton flow, trap latino"
41,1pQWsZQehhS4wavwh7Fnxd,Lenny Tavárez,"['latin', 'reggaeton', 'reggaeton flow', 'trap argentino', 'trap latino']",85,1356349,latin,"reggaeton, reggaeton flow, trap argentino, trap latino"
42,6w9ToX5slZ4uIdmD17hJ3c,Bryant Myers,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",81,5368741,latin,"latin hip hop, reggaeton, reggaeton flow, trap latino"
43,2OHKEe204spO7G7NcbeO2o,Ñejo,"['latin', 'latin hip hop', 'perreo', 'reggaeton', 'reggaeton flow', 'trap latino']",72,2515135,latin,"latin hip hop, perreo, reggaeton, reggaeton flow, trap latino"
44,5pZE9tgrhmIGWAsJZ7YxNK,Luny Tunes,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",65,1053558,latin,"latin hip hop, reggaeton, reggaeton flow, trap latino"
45,7lCRuW6BSXGAsxuQV9lR0i,Gigolo Y La Exce,"['latin', 'perreo', 'reggaeton', 'reggaeton flow', 'trap latino']",67,351115,latin,"perreo, reggaeton, reggaeton flow, trap latino"
46,5qH9qkVe5GUt6Fcq0LsQOB,John Patiño,[],45,33975,,
47,62lbdm09j0QUbWB7SqCJvt,Anonimus,"['reggaeton', 'reggaeton flow', 'trap latino']",61,189431,reggaeton,"reggaeton flow, trap latino"
48,6EiZOxfG8B5evnLH4KnJeF,Dyland & Lenny,"['electro latino', 'latin', 'latin hip hop', 'pop reggaeton', 'reggaeton', 'trap latino']",54,459652,electro latino,"latin, latin hip hop, pop reggaeton, reggaeton, trap latino"
49,0GM7qgcRCORpGnfcN2tCiB,Tainy,"['latin', 'latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'reggaeton flow', 'trap latino']",83,530868,latin,"latin hip hop, latin pop, pop reggaeton, reggaeton, reggaeton flow, trap latino"
50,5lFhCi03HDneWzvCxGctrT,Jory Boy,"['latin', 'latin hip hop', 'perreo', 'reggaeton', 'reggaeton flow', 'trap latino']",69,1279045,latin,"latin hip hop, perreo, reggaeton, reggaeton flow, trap latino"
